cleaned_comment;Sentiment
bin menerjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
pemerintah desa pemdes muarabakti kecamatan babelan kabupaten bekasi menyalurkan bantuan masyarakat desa kabupaten cianjur jawa barat terdampak gempabumi;Netral
berterimakasih besarnya bin besarnya garda terdepan penangulangan bencana alam gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
apresiasi kinerja bin membantu korban bencana alam gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
kabar gempa cianjur sempet bikin tenda esek;Agak Negatif
polri recovery pembersihan puing puing reruntuhan bangunan pasca gempa cianjur;Positif
baznas terima infak perusahan us adira finance bantu korban gempa cianjur;Agak Positif
gini jd relawan gempa cianjur gw komunitas stlh gempa udh donasi tuh berita kemana krn unt dipamerin;Agak Positif
asn kecamatan kepulauan seribu selatan bantuan korban gempa cianjur harian terbit harian terbit;Agak Negatif
program recovery relawan nasionaldi lokasi bencana gempa cianjurfpipeduli;Positif
polri berperan aktif pendistribusian bantuan sosial korban gempa cianjur;Netral
yayasan brata bhakti polri serahkan bantuan terdampak gempa cianjur sindonews bukanberitabiasa;Netral
bantuan barang;Agak Positif
ampi kak seto trauma healing anak terdampak gempa cianjur;Agak Positif
bin sisir daerah terpencil salurkan bantuan korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
pemprov kalsel serahkan bantuan korban gempa cianjur rp juta;Negatif
unpas serahkan bantuan korban gempa cianjur;Positif
ampi kak seto trauma healing anak terdampak gempa cianjur sindonews bukanberitabiasa;Agak Positif
gempa cianjur gempa berderet memanjang semoga alah jauhkan masyarakat indonesia musibah amin;Positif
pemprov kalsel serahkan bantuan korban gempa cianjur rp juta bantuansosial;Negatif
ijin mohon doa relawan semoga dipermudah membangun mushola portabel lokasi korban gempa cianjur;Negatif
mahasiswa gundar libur nataru tambang ilegal kaltim gempa cianjur kalideres family;Positif
unit tangki air pmi beroperasi posko pengungsian korban gempa cianjur;Positif
dana umat islam mna gub heru mui dki nu dki gub heru berencana mengunakan separuh dana infag dr mesjid dki utk disumbangkan korban gempa cianjur;Negatif
piti salurkan bantuan korban gempa cianjur;Negatif
biadab org menjadikan penderitan korban kanjuruhan gempa cianjur alat utk mencari honor dgn banyaknya undangan narasumber;Positif
halo mutualku lokasi gempa cianjur niatnya ngasi snack anak anak terdampak barangkali berdonasi dm transparansi donasi kasi decara detail terimakasih;Positif
forum csr indonesia dampingi menteri sosial kunjungi posko pengungsian gempa cianjur;Positif
gerak cepat bin gempa cianjur binresponcepatbencanalam;Negatif
baznas jatim kirim personel uang tunai rp juta korban gempa cianjur gogle berita berita news bangsaonline;Negatif
done kalo beruntung bwt beli beras keluarga korban gempa cianjur senin;Agak Positif
hasil donasi masyarakat apbd pemkot bekasi salurkan bantuan bencana gempa cianjur;Netral
bytedance serahkan donasi korban gempa cianjur;Netral
dilarang mengirim menfes mengandung unsur porno sara politik kebencian teror rasisme keributan rapat evaluasi pos pelayanan gempa cianjur;Positif
makan malam dapur balita gempa cianjur tempe nuget goreng tumis toge nasi lunak utk bayi dijadikan nasi tim bubur mingu penyintas gempa membantu masak dapur kegiatan pemberdayan trauma healing;Agak Negatif
penerima beasiswa baznas serahkan bantuan korban gempa cianjur;Netral
lokasi pembangunan hunian korban gempa cianjur kampung buniaga rt desa ciherang kecamatan pacet;Agak Negatif
kementerian hukum hak asasi manusia kemenkumham bantuan sosial kumham peduli cianjur masyarakat terdampak gempa november;Netral
merasakan pilunya hati mengucap syukur hadir langsung lokasi bencana gempa cianjur walahu alam bisawab;Agak Positif
anak yatim piatu pasca gempa cianjur mensos bantu tabungan;Positif
peduli korban gempa cianjur dp apersi salurkan bantuan bahan makanan gt gt;Agak Negatif
satgas kopasgat tni angkatan udara kenal libur bantu warga kampung nanjung desa cugenang terdampak gempa cianjur;Negatif
sat brimob polda jabar bersihkan puing puing rumah masyarakat cugenang pasca gempa cianjurpasca gempa kegiatan alihkan pembersihan puing puing perobohan rumah sdh rusak rencanakan pembuatan rumah pemerintah korban gempa;Positif
rangkaian acara utama kegiatan mendengarkan dongeng menyanyi kak seto;Agak Positif
bantuan warga korban bencana gempa bumi kabupaten cianjur jawa barat mengalir;Netral
bantuan berguna mengoptimalkan peran baznas;Netral
kabid humas polda jabar jaga keamanan polri laksanakan patroli malam pemukiman korban gempapolri sat melaksanakan tugas lokasi gempa cianjur lakukan patroli malam pemukiman masyarakat sabtu;Agak Positif
penambahan alat berat pencarian korban gempa cianjur;Agak Negatif
kabid humas polda jabar tim gabungan polri intens bantu masyarakat bersihkan puing puing bangunan pasca gempa cianjur megiatan lakukan membantu masyarakat membantu program pemerintah menata kab cianjur kabid humas;Agak Positif
data bupati bnpb korban gempa meningal dunia berbeda;Positif
tutup efek gempa cianjur;Netral
mulut lo bau gerung;Positif
pcnu bantul lazisnu bantul melepas tim relawan menyalurkan bantuan juta langsung korban gempa cianjur jumat pcnu bantul tasyarufkan juta korban gempa cianjur;Positif
bin korban gempa cianjur binresponcepatbencanalam;Negatif
alat berat ditambah cari korban hilang gempa cianjur;Agak Negatif
peduli keluarga karyawan korban gempa cianjur pt pratama abadi industri bantuan;Agak Positif
gerak cepat presiden jokowi kunjungi tenda pengungsi korban gempa cianjur jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunegeri jokowimajubersamaindonesia jokowibapakinfrastruktur;Agak Negatif
pemkot bekasi salurkan bantuan dana rp miliar korban bencana gempa cianjur;Agak Negatif
korban gempa cianjur ditemukan pemkab alat berat tuntaskan pencarian;Agak Negatif
batas maksimal pencarian korban gempa cianjur tertimbun desember;Netral
pemalang peduli gempa cianjur;Netral
pemkab cirebon bantu gempa cianjur rp miliar;Negatif
peduli korban gempa cianjur spn vi bantuan;Positif
presiden jokowi serahkan bantuan perbaikan rumah korban gempa cianjur;Netral
anjing gempa cianjur berguna dr uasu;Agak Negatif
relawan ganjar membantu korban gempa cianjur;Netral
bin siapkan nakes siapkan kebutuhan pokok korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binpedulisesama gempacianjur gempabumi cianjurberduka;Negatif
makan siang dapur balita gempa cianjur teriyaki sapi tumis kacang tempe nasi lunak utk bayi dijadikan nasi tim bubur penyintas gempa bantu masak dapur kegiatan pemberdayan trauma healing;Agak Negatif
kemenkumham salurkan bantuan rp korban gempa cianjur;Negatif
share donasi utk terdampak gempa cianjur paudqu tarbiyatusibyan desa mangunkerta kecamatan cugenang cianjur tks;Positif
ganjar berusaha membantu gempa cianjur ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar capres ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertangungjawab;Netral
bin terbaik utk membantu masyarakat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
donasi korban gempa cianjurupdatecianjur donasi blibli korbangempa cianjur;Netral
pelepasan tim tagana dinas sosial propinsi jawa bko gempa cianjur prop jawa barat tim orang rencana bertugas november desember november;Agak Positif
presiden jokowi pastikan bantuan rumah rusak gempa cianjur mudah jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunegeri jokowimajubersamaindonesia jokowibapakinfrastruktur;Netral
wabup garut serahkan bantuan gempa cianjur jyp nation barbie graduation;Positif
jokowi percepat pencairan dana perbaikan rumah korban gempa cianjur pandang bulu keren jokowipresidenkupembangunanuntukrakyatpresidenjokowihebatjokowimembangunegerijokowimajubersamaindonesiajokowibapakinfrastruktur;Positif
update gempa cianjur desember aftershock;Netral
news bin dirikan posko bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
info bin dirikan posko bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin dirikan posko bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin bantu penyintas gempa cianjur lewati sulitbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin laksanakan kegiatan trauma healing anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
trauma healing upaya penyembuhan mental anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
bin membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
perjuangan bin membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
apresiasi bin terdepan membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
buktikan kepedulianmu rekening laznas al irsyad sedekah bank syariah indonesia bank mega syariah posko laznas al irsyad peduli gempa cianjur prayforcianjur;Positif
tes bacan ayat ayat pendek hadiah uang kadisos kabag kerjasama trauma healing anak anak korban gempa cianjur;Agak Positif
bin bantu penangulangan gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin bantu korban gempa cianjur plosok binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
gerak cepat bin lokasi gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
penyaluran bantuan korban bencana gempa cianjur bencana gempa peduli cianjur jawabarat;Netral
trauma healing dgn korban gempa cianjur;Positif
bin tulus bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin kerahkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin lakukan terbaik korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin daerah jabar bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
pa program recovery pasca gempa cianjur tenda huntara pa k;Agak Positif
pemeriksan rutin korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
posko bantuan bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
terima kasih discovery centre bantuan perlengkapan mandi masyarakat terdampak gempa cianjur pmi dki jakarta gempacianjurdiscoverycentrepmiselalubantu;Positif
kabupaten gresik kirim ikan bandeng uang korban gempa cianjur;Agak Positif
warga korban gempa cianjur berterima kasih bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
korban meningal akibat gempa cianjur capai jiwa;Netral
kolaborasi sektor publik swasta membantu penyintas gempa cianjur salah satunya hadirnya yayasan wings peduli posko pengungsian lapangan jagaraksa warungkondang dikelola selengkapnya;Positif
activity report tbm bg turun bencana gempa cianjur asalamualaikum selamat siang salam bg delegasi relawan tbm bg gempa cianjur mengunjungi wilayah terdampak gempa pemeriksan kesehatan pemberian obat obatan penyerahan bantuan logistik;Positif
apresiasi delegasi asalamualaikum selamat siang salam bg tbm bumi gora mengirimkan delegasi relawan turun bencana gempa cianjur dr nurlyta hapsari putri tbm bg amrulah muliawan hamdin tbm bg;Agak Positif
universitas agustus jakarta menyediakan mck sanitasi layak warga toilet portable toren air pompa air tenda pengungsian desa benjot cianjur;Positif
adira finance syariah memercayakan baznas menyalurkan infak perusahan;Agak Positif
komunitas vespa grel indonesia sejawat vespa bantu korban gempa cianjur;Netral
bin bantuan terbaik pengungsi gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
layanan kesehatan bin disambut positif korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin gerak cepat bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
kumpulan berita hoaks pantai pangandaran mengering gempa cianjur kebakaran rumah akibat set top box meledak harimau gunung pegat wonogiri topik hangat cari faktanya newsorhoax pkl kompastvstreaming;Agak Positif
bin pelayanan terbaik pengungsi gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
terimakasih bin respon cepat bin membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin gelar trauma healing anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
kinerja bin membantu korban gempa cianjur patut diapresiasibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
trauma healing digelar bin pengungsi gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
distribusi bantuan bin bantu masyarakat korban gempa cianjur mantap binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinpedulisesamagempacianjurgempabumicianjurberduka;Negatif
bin melaksanakan kegiatan pelayanan kesehetan korban gempa cianjur dor to dor binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
posko bantuan bin disambut ama masyrakat korban gempa cianjur terbaik binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinpedulisesamagempacianjurgempabumicianjurberduka;Negatif
posko bantuan bin sngt bantu korban gempa cianjur terimakasih bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinpedulisesamagempacianjurgempabumicianjurberduka;Negatif
layanan dor to dor bin bermanfat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
terimakasih bin sigap cepat bantu korban gempa cianjur mantap binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinpedulisesamagempacianjurgempabumicianjurberduka;Negatif
korban gempa cianjur terbantu layanan kesehatan mi bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
layanan dor to dor sngat membantu korban bncana gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
layanan dor to dor bin membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
korban gempa cianjur terbantu layanan kesehatan mi binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
bin sigap merespon korban gempa cianjur salurkan bantuan kemanusianbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
dor to dor bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
pendistribusian madu habib ali alhamid tim relawan hilmi tenda tenda darurat warga korban gempa cianjur barakalahu fik;Agak Positif
trauma bencana gempa cianjur minimalisir kegiatan posko binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin cepat penyaluran bantuan korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
bin pahlawan anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
belajar penyintas gempa cianjur semangat beribadah tingal pengungsian rutin sholat berjamah sholat masya alah tabarakalah klik;Positif
penyerahan bantian serikat buruh spn kota bogor korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
apresiasi bin kegiatan menghilangkan trauma anak korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
bin membantu menghilangkan trauma korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
pendidikan trauma healing lakukan bin anak korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Agak Negatif
bin mengelar pendidikan agama islam anak korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
bin perduli kesehatan mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin cepat tangap bangun posko kemanusian korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
upaya bin membantu masyarakat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
posko bin cianjur pelayanan kesehatan pengungsi gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
warga korban gempa cianjur berterima kasihbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
posko bantuan bin adakan kegiatan pemeriksan kesehatan korban pengungsi gempa cianjur pray for cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
mantap bin terbaik korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin membantu korban gempa cianjur trauma healing puluhan anak anakbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin bantuan korban gempa cianjur dor to dor binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
posko bantuan bin menyediakan layanan kesehatan masyarakat terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin tim kegiatan trauma healing pengungsi anak balita korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
bin aplikasi sibe bantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin membantu korban gempa cianjur trauma healing binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
ratusan pengungsi korban gempa cianjur posko bantuan bin bantuan kemanusian binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin honda verza riders bandung gelar trauma healing anak anak korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
trauma healing gtk kemenag ri pgm indonesia korban gempa cianjur alami guru madrasah cianjur traumahealing gempacianjur pgmindonesia perkumpulangurumadrasahindonesia gurumadrasahebat madrasahebatbermartabat;Agak Positif
korban gempa cianjur bansos miliar kemenkumham rincianya bansos cianjur cianjurberduka bantuansosial kemenkumham;Netral
bin hebat pelayanan kesehatan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
polri trauma healing anak anak tenda pengungsian pasca gempa cianjurpolri membantu pemulihan trauma treatment trauma healing korban anak anak ditenda pengungsian gempa cianjur kamis;Agak Positif
bin sisir wilayah terpencil bantu masyarakat terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
sat brimob polda jabar bersihkan puing puing rumah masyarakat cugenang pasca gempa cianjur;Positif
bin peduli gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
mohon ijin share komandan bakti sosial kolaborasi polres purwakarta pt south pacific viscose korban gempa cianjur please like coment share subscribe;Positif
kilogram ikan nila segardibudidayakan membantu memulihkan perekonomian penyintas gempa cianjur pasca bencana;Positif
sahabat pasca gempa cianjur kuatkan ketahanan pangan pembangunan bank protein program mengencarkan budi daya ikan kampung pameungpeuk desa cijedil kecamatan cugenang kabupaten cianjur;Positif
rt membangunegri lahan seluas hektare ha disiapkan pemerintah korban gempa cianjur mbak sipon moana mahfudmulan de;Agak Negatif
ikbs serahkan bantuan korban gempa cianjur;Netral
jurnalrdn edisi alhamdulilah jurnal rdn edisi terbit mengangkat program peduli bencana gempa cianjur informasinya link magz pdf jurnalrdn lembagasosial;Positif
lahan seluas hektare ha disiapkan pemerintah korban gempa cianjur mbak sipon moana mahfudmulan demokrasi jihonandroid cinderelanatawinjokowi jokowipresidenku jokowihebat nkrimajubersamajokowi;Agak Negatif
kankemenag cianjur terjunkan penyuluh pendamping lt em gt trauma healing lt em gt korban gempa cianjurselengkapnya;Agak Negatif
bnpb korban gempa cianjur terima bantuan rumah tempotekno;Netral
laznas al irsyad salurkan bantuan logistik penyintas gempa cianjurinfo selengkapnya kunjungi website sedekah infak pusat lembagazakat donatur berbagi;Positif
rumah direlokasi desa melewati garis patahan sesar cugenang rawan gempa;Positif
pmi optimalkan layanan home care warga korban gempacianjur jawa barat;Positif
gubernur rohidin hasil pengalangan dana masyarakat bengkulu korban gempa cianjur fokus pembangunan fasilitas sarana publik;Positif
pembangunan rumah instan sederhana sehat korban gempa cianjur jawa barat ditargetkan rampung rumah selesai dibangun;Negatif
pt alton yogantara perkasa salurkan bantuan dana csr trauma healing korban gempa cianjur;Positif
pastikan pembersihan puing rumah terdampak gempa cianjur selesai;Netral
kepala bnpb dampingi wapres ri tinjau penanganan gempa cianjur;Agak Positif
bnpb pastikan pembersihan puing rumah dampak gempa cianjur selesai;Netral
musibah gempa cianjur bantuan mengalir deras korban terdampak persedian logistik sisa donasi bantuan pasca gempa sat menipis headline;Positif
jujur keknya real semenjak gempa cianjur;Positif
musibah gempa november jiwa pelayanan kesehatan pmi;Netral
pmi kaltara bangun sembilan huntara korban gempa cianjur;Netral
korban gempa cianjur diungsikan masjid al jabar biar cepat dibantu gub jabar;Negatif
surabaya comunity touring sosialayo rek ben koyo remaja milenial sepeda motoran tujuan ngresmekno pondok pengajian nang lokasi korban gempa cianjur vila cisarua nginep tgl januari sing arep melok hubungi cak chandra salam;Agak Positif
penyintas gempa cianjur sambut bahagia bantuan huntara ydsf;Netral
simak kisah relawan gempa cianjur masya alah terharu;Positif
rumah terdampak gempa cianjur zona patahan cugenang direlokasi lebaran ditempati;Positif
ratusan karang taruna bersihkan puing puing rumah rusak korban gempa cianjur mudah hambatan;Netral
lurah jatirangon forum rw bantuan korban gempa cianjur;Agak Positif
bnpb rumah terdampak gempa cianjur jawa barat direlokasi;Netral
pemerintah kawasan relokasi kecamatan cilaku;Netral
bnpb pastikan pembersihan puing rumah gempa cianjur selesai kurun;Netral
bantuan rp juta hasil donasi pns tenaga kontrak lingkup pemprov sulbar publisherstory sulbarkini;Negatif
mensos risma santunan korban gempa cianjur rp miliar;Negatif
iphi muslimat nu tangsel serahkan bantuan korban gempa cianjur kotatangsel metrotangerang bantuan iphitangsel muslimatangsel;Negatif
donasi gempa cianjur terimakasih politeknik insan husada surakarta donasi gempacianjur terkumpul rp donasi disalurkan langsung masyarakat terdampak gempa cianjur pmisolo pmiselalubantu pmisolobergeraklebih;Negatif
bin lakukan bantuan kemanusian korban gempa cianjur;Negatif
menhan prabowo subianto mendampingi presiden ri joko widodo mengunjungi pengungsi korban gempa cianjur meninjau rumah sakit sayang cianjur kunjungan rumah sakit sayang penanganan korban gempa pemersatuindonesia kerjasama;Agak Positif
menteri pertahanan republik indonesia prabowo subianto turun langsung meninjau korban bencana gempa cianjur rsud sayang tenda pengungsipemersatuindonesia kerjasama;Agak Negatif
wakil presiden tinjau rumah relokasi korban gempa cianjur;Negatif
mensos bantuan tenda pengungsi gempa cianjur;Agak Negatif
unit risha selesai dibangun desa sirnagalih kecamatan cilaku;Positif
lebaran huntap korban gempa cianjur beres dibangun;Netral
wapres titipkan pesan pemulihan dampak sosial ekonomi warga korban gempa cianjur diselesaikan terkait tingalnya pengungsi rohingya terdampar aceh digerakan elemen kemanusian keagaman;Netral
bnpb pastikan pembersihan puing terdampak gempa cianjur selesai;Netral
tuandanpuan wakil presiden meninjau langsung progres penanganan dampak gempa cianjur rabu bencana wapres ksp;Agak Negatif
cianjur dana mustadhafin menyalurkan bantuan anak anak terdampak gempa cianjur mengikuti;Positif
pembuatan hundar salah layanan utama layanan dijalankan muhamadiyah respon tangap darurat gempa cianjur selengkapnya relawan muhamadiyah gempa;Netral
bnpb pembersihan puing gempa cianjur selesai;Netral
wapres cek pembangunan huntap pupr korban gempa cianjur;Netral
bnpb bangun hunian korban gempa cianjur dibangun desa;Netral
puing gempa cianjur bersih bangun rumah lokasi situ;Positif
paket schol kit dikirimkan cianjurkamis lazismu jawa barat mengirimkan paket schol kit anak anak penyintas gempa cianjur paket hygiene kit pengungsi lainya;Negatif
hinga seribu rumah dibersihkan;Netral
pemerintah bangun hunian korban gempa cianjur lokasi;Netral
bnpb fokus bersihkan puing puing rumah;Netral
warga korban gempa cianjur jawa barat menerima bantuan pembangunan rumah mengugurkan bantuan pemerintah;Netral
bnpb fokus bersihkan puing bangunan rumah warga terdampak gempa cianjur;Netral
pembersihan puing rumah terdampak gempa cianjur selesai pembersihan selesai warga membangun rumahnya lokasi;Netral
hunian relokasi gempa cianjur ditarget rampung lebaran;Netral
